Timestamp,Turbine Name,Active Power,Wind Speed
2026-02-08 02:43:49,WA101,4420.2 kW,10.2 m/s
2026-02-08 02:44:32,WA101,4370.3 kW,11.2 m/s
2026-02-08 02:45:16,WA101,4408.9 kW,7.4 m/s
2026-02-08 03:07:12,WA101,4477.9 kW,10.9 m/s
2026-02-08 03:07:59,WA101,4485.4 kW,11.3 m/s
2026-02-08 03:08:40,WA101,4500.0 kW,11.8 m/s
2026-02-08 03:09:26,WA101,4504.1 kW,9.4 m/s
2026-02-08 03:10:07,WA101,4543.1 kW,12.6 m/s
2026-02-08 03:10:50,WA101,4529.8 kW,11.6 m/s
2026-02-08 06:30:30,WA101,4499.2 kW,12.0 m/s
2026-02-08 06:31:14,WA101,4534.7 kW,12.0 m/s
2026-02-08 06:31:56,WA101,3861.7 kW,13.1 m/s
2026-02-08 17:19:41,WA101,4486.3 kW,9.0 m/s
2026-02-08 17:20:29,WA101,4516.8 kW,12.0 m/s
2026-02-08 17:21:12,WA101,4476.1 kW,12.4 m/s
2026-02-08 17:21:54,WA101,4503.8 kW,16.2 m/s
2026-02-08 17:22:40,WA101,4527.9 kW,14.4 m/s
2026-02-08 17:23:25,WA101,4536.0 kW,10.3 m/s
2026-02-08 19:19:51,WA101,4533.2 kW,13.3 m/s
2026-02-08 19:20:34,WA101,4504.4 kW,12.8 m/s
2026-02-08 19:21:16,WA101,4571.7 kW,12.1 m/s
2026-02-08 19:21:58,WA101,4445.8 kW,8.4 m/s
2026-02-08 19:22:40,WA101,4510.5 kW,10.8 m/s
2026-02-08 19:23:24,WA101,3983.1 kW,11.3 m/s
2026-02-08 19:24:11,WA101,4464.6 kW,13.5 m/s
2026-02-08 19:24:52,WA101,4452.1 kW,13.9 m/s
2026-02-08 19:25:33,WA101,4474.8 kW,11.3 m/s
2026-02-08 19:26:13,WA101,4593.3 kW,9.6 m/s
2026-02-08 19:39:55,WA101,4524.3 kW,11.7 m/s
2026-02-08 19:40:39,WA101,4493.4 kW,11.7 m/s
2026-02-08 19:41:24,WA101,4519.0 kW,12.7 m/s
2026-02-08 19:42:46,WA101,4515.1 kW,12.8 m/s
2026-02-08 19:43:29,WA101,4537.2 kW,11.4 m/s
2026-02-08 19:44:12,WA101,4535.3 kW,9.7 m/s
2026-02-08 19:44:52,WA101,4522.3 kW,8.5 m/s
2026-02-08 19:45:33,WA101,4438.3 kW,11.2 m/s
2026-02-08 19:46:16,WA101,4533.7 kW,8.6 m/s
2026-02-08 19:46:57,WA101,4233.6 kW,8.5 m/s
2026-02-08 20:27:30,WA101,4454.9 kW,14.6 m/s
2026-02-08 20:28:12,WA101,4540.6 kW,8.0 m/s
2026-02-08 20:28:53,WA101,4435.9 kW,9.2 m/s
2026-02-08 20:29:33,WA101,4476.3 kW,9.3 m/s
2026-02-08 20:30:15,WA101,4562.7 kW,10.5 m/s
2026-02-08 20:37:11,WA101,4518.3 kW,9.4 m/s
2026-02-08 20:37:55,WA101,4444.6 kW,11.4 m/s
2026-02-08 20:38:38,WA101,4488.8 kW,12.4 m/s
2026-02-08 20:39:25,WA101,4510.4 kW,11.1 m/s
2026-02-08 20:40:08,WA101,4503.2 kW,11.8 m/s
2026-02-08 20:40:49,WA101,4528.1 kW,11.2 m/s
2026-02-08 20:49:40,WA101,4565.5 kW,12.3 m/s
2026-02-08 20:50:22,WA101,3626.1 kW,8.0 m/s
2026-02-08 20:51:02,WA101,4497.2 kW,11.5 m/s
2026-02-08 20:51:45,WA101,4440.4 kW,9.1 m/s
2026-02-08 20:52:26,WA101,4490.5 kW,11.3 m/s
2026-02-08 21:12:50,WA101,3997.7 kW,8.5 m/s
2026-02-08 21:13:32,WA101,4520.3 kW,11.1 m/s
2026-02-08 21:14:13,WA101,4475.5 kW,11.6 m/s
2026-02-08 21:14:56,WA101,4508.9 kW,11.1 m/s
2026-02-08 21:15:42,WA101,4461.9 kW,13.8 m/s
2026-02-08 21:16:29,WA101,4481.4 kW,10.5 m/s
2026-02-08 21:17:13,WA101,4555.7 kW,9.7 m/s
2026-02-08 21:17:56,WA101,4541.8 kW,13.0 m/s
2026-02-08 21:36:18,WA101,4497.9 kW,12.7 m/s
2026-02-08 21:36:58,WA101,4497.8 kW,14.5 m/s
2026-02-08 21:37:39,WA101,4506.7 kW,10.1 m/s
2026-02-08 21:56:08,WA101,4470.1 kW,14.3 m/s
2026-02-08 21:56:49,WA101,4487.3 kW,14.4 m/s
2026-02-08 21:57:30,WA101,4471.6 kW,13.2 m/s
2026-02-08 21:58:11,WA101,4505.1 kW,13.1 m/s
2026-02-08 21:58:55,WA101,4522.4 kW,11.1 m/s
2026-02-08 21:59:36,WA101,4504.2 kW,15.0 m/s
2026-02-08 22:00:23,WA101,4502.2 kW,12.4 m/s
2026-02-08 22:01:06,WA101,4534.0 kW,11.4 m/s
2026-02-08 22:01:47,WA101,4450.6 kW,11.5 m/s
2026-02-08 22:02:30,WA101,4537.2 kW,9.4 m/s
